text,sentiment
"Ascensor arreglado. Gracias.", 0
"Gracias por resolver el ascensor.", 0
"Ascensor OK. Aprecio la rapidez.", 0
"Gracias por el ascensor de vuelta.", 0
"Ascensor solucionado. Gracias mil.", 0

"Tuberías arregladas. Gracias.", 0
"Problema tuberías resuelto. Gracias.", 0
"Líos en tuberías zanjados. Gracias.", 0
"Agua en su sitio. Gracias.", 0
"Tuberías OK. Agradecemos la rapidez.", 0


"Luz restaurada. Agradezco la prontitud.", 0
"Problema de luz resuelto. ¡Gracias!", 0
"Vuelta a la luz. Agradecemos el esfuerzo.", 0
"Iluminación arreglada. Gracias.", 0
"Luz de nuevo. Gracias por la rapidez.", 0


"Goteras reparadas. Gracias.", 0
"Se fueron las goteras. ¡Gracias!", 0
"Gracias por solucionar las goteras.", 0
"Goteras resueltas. Agradecemos la eficacia.", 0
"Todo seco. Gracias por arreglarlas.", 0


"Humedades despejadas. ¡Gracias!", 0
"Aire fresco sin humedades. Agradecemos la solución.", 0
"Se fue la humedad. Gracias por el trabajo.", 0
"Gracias por combatir las humedades.", 0
"Sin humedades. Apreciado el esfuerzo.", 0


"Grietas reparadas. Agradecemos el cuidado.", 0
"Se solucionaron las grietas. Gracias.", 0
"Gracias por atender las grietas.", 0
"Grietas resueltas. Apreciamos la rapidez.", 0
"Sin grietas. Gracias por la seguridad.", 0


"Áreas limpias. Agradecemos el esfuerzo.", 0
"Gracias por mantener todo limpio.", 0
"Suciedad eliminada. Se nota el empeño.", 0
"Espacio limpio. Apreciamos la pulcritud.", 0
"Agradecemos la limpieza. ¡Gracias!", 0


"Ruidos abordados. Gracias por la paz.", 0
"Menos ruido, más paz. Aprecio el esfuerzo.", 0
"Gracias por atender los ruidos molestos.", 0
"Ruidos solucionados. Agradecemos el silencio.", 0
"Silencio restaurado. Gracias.", 0


"Mediación exitosa. Agradecemos la gestión.", 0
"Gracias por resolver el conflicto. Paz restaurada.", 0
"Conflicto vecinal manejado. Apreciado el esfuerzo.", 0
"Intervención positiva. Gracias por la mediación.", 0
"Agradecemos la paz restaurada.", 0


"Ascensor funciona a la perfección. Gracias por la rápida reparación.", 0
"Problema del ascensor resuelto eficientemente. ¡Aprecio la prontitud!", 0
"El ascensor está en buen estado. Gracias por la atención rápida.", 0
"Ascensor de vuelta a la normalidad. Agradecemos la eficacia.", 0
"Agradecemos la pronta solución al problema del ascensor.", 0


"Tuberías arregladas de inmediato. Aprecio la rapidez en la acción.", 0
"Problema de tuberías resuelto eficientemente. ¡Gracias!", 0
"Líos en tuberías zanjados con rapidez. Agradecemos la eficiencia.", 0
"Tuberías en buen estado. Apreciamos la prontitud en la reparación.", 0
"Agradecemos la solución rápida a los problemas de tuberías.", 0


"Luz restaurada con rapidez. Agradezco la prontitud.", 0
"Problema de luz resuelto eficientemente. ¡Gracias!", 0
"Vuelta a la luz rápidamente. Agradecemos el esfuerzo.", 0
"Iluminación arreglada con prontitud. Gracias.", 0
"Agradecemos la solución rápida a los problemas de luz.", 0


"Goteras reparadas con prontitud. Agradecemos el alivio.", 0
"Se fueron las goteras. ¡Gracias por la rápida acción!", 0
"Gracias por solucionar las goteras tan rápidamente.", 0
"Goteras resueltas eficientemente. Agradecemos la eficacia.", 0
"Todo seco. Agradecemos la pronta reparación de las goteras.", 0


"Humedades despejadas. ¡Gracias por la acción rápida!", 0
"Aire fresco sin humedades. Agradecemos la solución inmediata.", 0
"Se fue la humedad. Agradecemos el trabajo rápido.", 0
"Gracias por combatir las humedades con prontitud.", 0
"Sin humedades. Apreciado el esfuerzo rápido.", 0


"Grietas reparadas rápidamente. Agradecemos el cuidado.", 0
"Se solucionaron las grietas con rapidez. Gracias.", 0
"Gracias por atender las grietas tan pronto.", 0
"Grietas resueltas eficientemente. Apreciamos la rapidez.", 0
"Sin grietas. Agradecemos la pronta reparación.", 0


"Áreas limpias. Agradecemos el esfuerzo rápido.", 0
"Gracias por mantener todo limpio con rapidez.", 0
"Suciedad eliminada de inmediato. Apreciamos el empeño.", 0
"Espacio limpio con prontitud. Agradecemos la pulcritud.", 0
"Agradecemos la limpieza rápida. ¡Gracias!", 0


"Problema de ruidos abordado con rapidez. Agradecemos la paz.", 0
"Menos ruido, más paz. Aprecio el esfuerzo rápido.", 0
"Gracias por atender los ruidos molestos con prontitud.", 0
"Ruidos solucionados eficientemente. Agradecemos el silencio.", 0
"Silencio restaurado rápidamente. Agradecemos la tranquilidad.", 0


"Mediación exitosa y rápida. Agradecemos la gestión eficiente.", 0
"Gracias por resolver el conflicto de manera eficaz. Paz restaurada.", 0
"Conflicto vecinal manejado rápidamente. Apreciado el esfuerzo.", 0
"Intervención positiva y rápida. Gracias por la mediación eficiente.", 0
"Agradecemos la paz restaurada con prontitud.", 0




"El ascensor sigue fallando. Necesita atención."
"Problemas persistentes con el ascensor. Solución urgente, por favor."
"El ascensor sigue siendo un problema. Se requiere reparación."
"Inconvenientes con el ascensor persisten. Necesitamos una solución."
"El ascensor no está bien. Necesita arreglos inmediatos."


"Las tuberías siguen con problemas. Solicitamos reparación."
"Problemas recurrentes en las tuberías. Necesitamos una solución urgente."
"Líos constantes en las tuberías. Se necesita reparación."
"Las tuberías no están bien. Urgente atención requerida."
"Problemas persistentes con las tuberías. Solicitamos arreglo."


"La luz sigue siendo un problema. Necesitamos solución."
"Problemas con la iluminación persisten. Urgente reparación requerida."
"Luz intermitente. Se requiere atención inmediata."
"La iluminación no está resuelta. Necesitamos una solución rápida."
"Problemas constantes con la luz. Arreglo urgente necesario."


"Las goteras persisten. Urgente reparación solicitada."
"Problemas recurrentes con las goteras. Necesitamos solución inmediata."
"Goteras no resueltas. Se requiere atención urgente."
"Inconvenientes constantes con las goteras. Arreglo necesario."
